,topic,usage situation,type of business,review date,overall rating,review,number of accounts used,effects after introducing the service,rate ease of use,rate helpfulness,rate customizability,rate functional satisfaction,rate service stability
48,なんでもできるSFA,currently not using,IT related Service,2022-04-11,4,カスタマイズによる拡張性が非常に強力です。基本的には自社の業務フローは変えずに、システムのほうをカスタマイズして、自社の業務に合わせていく事が可能です。ここまでカスタマイズできるSFAはほかにないと思います。,>11-30,システム開発者としてSalesforce Sales Cloudのカスタマイズの担当をしていました。大体、用意されている部品でカスタマーのニーズを満たすことができますので、非常にカスタマイズ性が高いと思います。,4.0,5.0,5.0,4.0,4.0
49,人材紹介という特殊なモデルでも対応ができた,currently not using,Food and Leisure Service,2022-04-09,4,人材紹介事業におけるSFA・CRMとして利用。人材紹介は商材・顧客に加えて、案件情報の紐付けも必要なため、一般的なSFAだと対応ができなかったが、カスタマイズを行うことで正確な進捗かんりが可能となった。また、社内独自のスコア管理機能なども全て搭載することができ、非常に満足でした。,>31-50,過去スプレッドシートで管理を行なっていましたが、従業員数が増えたことによるシートのセル上限問題や、重くて動かないなどのデメリットがありました。サービス導入後は動かない・従業員のデータ管理ができないといったことがなくなりました。,4.0,5.0,5.0,5.0,5.0
50,salesforce利用について,using,IT related Service,2022-04-04,4,"リードへの属性情報の数はカスタマイズを含めると多岐にわたり、多くの情報を紐づけれることができる。また、セールス活動や案件のアプローチをパイプライン管理することが可能なため、営業担当者1人に情報が属人化することがなくなる。
しかし、営業担当者が情報を記入することが前提のため、利用者側へ記入するメリットをいかに伝えられるかがこのサービスうを利用する肝となる。",301-500,"・営業担当者への情報の属人化排除
・案件成約の精度向上
・自社保有企業の分析
・リード管理の強化
・情報共有の強化",5.0,5.0,5.0,5.0,5.0
52,顧客管理、活動履歴を簡単に把握できる,using,IT related Service,2022-04-03,3,顧客データへのアクセスからデータの管理など、メンバー間での情報共有に役立っています。担当引き継ぎの際も、salesforceを見ればおおよそ把握することができ、一元管理にも役立っている印象です。,>51-100,"顧客管理には各営業がExcelを使ったり、情報の分断が起きていた。
導入後はクラウドツールなので、いつどこでも情報共有が出来るようになり、データの一元管理が出来るようになった。",3.0,3.0,3.0,3.0,3.0
53,マネジメンターにとって効率的な管理ツールであること,using,IT related Service,2022-03-29,5,SFA、CRMとして十分に優れている製品です。営業時には商談管理やパイプライン管理、カスタマーサクセス/サポートにおいては顧客別の対応状況やフェーズ管理など、柔軟に管理したいことが全て完結できると思います。,>11-30,"自分自身が事業部長をしているのですが、スタートアップ故、事業戦略も頻繁に改善しているため、メンバーの成果指標も柔軟に改善しています。指標改善時にはすぐに自分で、項目を作り、レポートを作り、見たいダッシュボードを作っています。
これにより、チーム内に、登録すべき指標を伝えるだけで即日で、見たい指標を見れるため即時でチームの活動や成果が可視化することができました。
この設定を外部ベンダーや、知識の低い社内別部門に依頼すると、反映まで時間がかかってしまうので、見たい指標がなかなか見れないという課題があるので、自分で設定することでチーム運営がかなり円滑になっています。",4.0,5.0,5.0,5.0,5.0
54,顧客が管理できる,using,Retail/distribution/trading companies,2022-03-23,3,"顧客がの管理は大変しやすいが、使いこなすのが難しい、
理解し、使いこなせるようになれば、営業などの顧客管理で大変大きな武器になると思う。
ただ、月額利用料が高額でアカウントを簡単に増やせなので不便だと感じています。",2-10,"営業マンの同士の行動を把握できるというのもよい点だと思います。
セールスフォースを使って営業の均一化ができています。
また社内でもお互いに管理ができるため
異なるシステムを見に行くことが少なくなり業務の効率化・改善につながっています。",4.0,4.0,4.0,4.0,4.0
55,カスタマイズできすぎて初期支援・詳しい人材が必要,using,Manufacturer/manufacturing system,2022-03-22,4,カスタマイズ機能に優れておりsalesforce製品に詳しい人材や経験のある人材がいない場合は初期設定などに工数がかかるため初期支援導入を使用したほうが効率的である。,2-10,商談管理についてExcelで手管理、管理についてルールもなかったため情報共有が難しかった。まだ道半ばであるもののマーケ部門と営業部門の情報管理がずいぶンスムーズとなった,4.0,4.0,5.0,4.0,3.0
56,詳細な顧客情報をタイムリーに管理し、商談の成立が実現します,using,IT related Service,2022-03-19,5,営業部門との顧客情報の管理とデータ管理を詳細に行い、業務の連携がスムーズに行なえます。結果として各四半期ごとの予算達成と進捗の管理が細かく行え、効率よく生産性の高い営業活動につながっています。,>31-50,業務において、エクセル作業への依存度が高かったが、セールスフォースの導入がエクセル使用頻度が減少に繋がり、より分析業務に時間を充てがうことが可能となってた。,5.0,5.0,5.0,5.0,5.0
57,大企業向けの製品,using,Food and Leisure Service,2022-03-18,4,とても素晴らしい製品ですが、構築に大変時間がかかりますし、素人では無理です。業者を使って構築してもらいましたがリテラシーが低いと要件定義に時間がかかりかつ使いにくいものが出来上がりました。,2-10,営業管理はしやすくなりましたが、導入した後に初心者でも使える製品と出会いました。やはりこれはプロ仕様なんだと思います。,4.0,3.0,5.0,2.0,5.0
58,連携したり、データを入れすぎると、とんでもなく重い,currently not using,IT related Service,2022-03-16,3,結局のところインボイスシステムとは連携できず、アカウント→案件→見積もり→受注までしかできないのですが、この中だけでもMAツールと繋げたりするとめちゃくちゃ重い。,>51-100,これまでは引き継ぎミーティングを案件ごとにしないと引き継ぎができなかったが、案件に紐づくコンタクトや契約が全て観れるので、アカウントマネジメントがしやすくなった、アカウントについて入社前の過去の履歴やメールのやり取りが観れるので、アプローチの戦略も立てやすくなった。,5.0,5.0,3.0,3.0,3.0
59,営業活動の進捗管理が容易,currently not using,IT related Service,2022-03-14,4,情報を徹底的に登録すれば、あらゆるデータを視覚化でき、Salesforceだけで営業会議や日々の活動報告などを完了できます。 Excelでプロジェクトを管理していたときほど問題を感じないからです。,>1,"・営業活動を視覚化することにより、プロジェクトの詳細の共有が最適化されました。
・Salesforceでフェーズ管理とタスク管理ができるようになりました。",4.0,5.0,4.0,4.0,3.0
60,まだ効果は出ていない,using,Mass Media/Advertising/Design/Game/Entertainment,2022-03-11,3,弊社の売上管理との連動がなかなか思ったように進まない。弊社側の問題か、システム側の問題か、何とも言い難いため現状の評価は３。今後改善されれば４。料金が安くなれば５の評価に。,>51-100,顧客管理はできるようになり、営業情報の蓄積もできるようになった。ただ数字管理はベースのシステムと上手く連携はできておらず、今後も改善するとは思えない。顧客管理で良ければＳａｎｓａｎで良かったとの声も多い。,3.0,2.0,5.0,3.0,3.0
61,顧客管理の仕組み化により顧客理解と社内引継ぎをスムーズに,currently not using,Mass Media/Advertising/Design/Game/Entertainment,2022-03-10,4,膨大な顧客情報（取引実績、企業情報、担当者情報等）をシステム一つにまとめることができ、その情報を営業担当や上司、社内のアシスタントまで全員見ることができるため、プロジェクトに関わる人全てが顧客管理がしやすくなった。また、社内異動で前任から後任へ顧客の引継ぎが行われる際にはシステム上の情報伝達漏れが起こりにくくなったのは顧客サイドにもメリットになったと思う。,2-10,顧客情報管理はずっと課題にあり、一時期ファイルで管理するというアナログな方法を起用していた時期もあったが、情報が膨大すぎる、かつ営業マンが日々営業活動で多忙な中、顧客管理を行う時間がなかなかとれず、ファイルにまとめるという手間のかかるタスクになかなか取り組むことができなかった。セールスフォース導入後は、営業先訪問から帰宅したらまずはセールスフォースに当日の商談内容や担当者情報を入力し、名刺を頂いた際にはアシスタントに名刺を渡し、その名刺をアシスタントがシステムに読み込むという作業がルーチン化された。これにより、顧客管理がスムーズに行え、後日商談前の準備の際にもセールスフォースで顧客管理や前回の商談時の話などを振り返りながら行うようになった。メリットは、顧客情報が一つにまとまったことで紙資料をみたり他の社内システム（取引実績）を見たりといったタスクが減り、商談準備がスムーズになったこと。また、社内引継ぎが断然楽になったことである。,4.0,4.0,4.0,4.0,4.0
62,利便性,using,Food and Leisure Service,2022-03-08,5,セールスフォースを導入すれば、顧客の予算、競合他社に関するデータや営業チームが注力している業務など、営業活動における重要事項を誰もが一目で把握できるようになります。そのあたりに課題のある会社にはおすすめです。,2-10,"導入前は各事業部での顧客状況の把握が難しく、どこでどういう風に取り組んでいたのか不透明な状態だったが、
導入後はその管理がしやすくなった。",4.0,4.0,4.0,5.0,5.0
63,一元管理が出来て見やすい,using,IT related Service,2022-03-08,4,"今までは色んなシステムを使って管理していたのが、
Salesforceにより一つでまとめて利用出来るようになり、かなり楽になりました。
クラウドのため、回線が遅いと全く動かなくなるのが唯一困っている点です。",501-1000,Salesforceは色んな事がカスタマイズで出来、クラウドのためリモートを繋がなくても外から情報も見れるため業務効率が上がりました。,4.0,5.0,5.0,5.0,5.0
64,導入しても使いこなせない,currently not using,Manufacturer/manufacturing system,2022-03-07,2,"＜良い点＞
・案件管理ができる
・複雑なレポートの作成は可能（ただし、実際の業務でその必要性はほぼ無い）

＜悪い点＞
・とにかく使うのが難しく、活用できない
・自分は営業部だったがマーケ部は別ツールを利用しており、部門間の連携が断絶される
・FAQページの内容が難しい

ブランディングが上手な会社様なので、今からCRMを入れるならSalesforceを使わないといけないと思いがちだが、全然そんなことはない。",>11-30,"・特定の条件でレポート作成が簡単なので報告がしやすい
・営業の案件管理や行動管理ができる
・基本的な顧客管理ができていた
※Salesforce特有というよりも、通常のSFAとしてのメリット。",1.0,3.0,3.0,1.0,3.0
65,理解さえすれば無限の可能性がある,using,IT related Service,2022-03-01,4,"実際のデータから導き出せる、営業の成功ルートや、失注につながる案件の発見等
数値ベースで根拠をもとに抽出できます。また、顧客情報の蓄積にもつながり
引継ぎ業務が安易になりました。",>31-50,"導入背景：顧客情報の集約
課題解決場面：顧客との打ち合わせ内容等が俗人化せずに、記録として残るようになった。",4.0,5.0,5.0,5.0,5.0
66,顧客管理や商談状況をリアルタイムにチームで共有,using,Finance/Insurance,2022-02-21,5,外資系企業のサービスですが日本語表示も問題なく、ビジュアルを含めて、いつでもどこでも顧客管理や商談状況をリアルタイムにチームで共有出来て、時間とコストを削減することにも繋がる業務効率化も実現出来る。,501-1000,大人数の営業組織としては、既存顧客の情報管理や見込顧客の進捗状況、リスト管理などをどんどんアップデート出来ることは非常にメリットです。,5.0,5.0,3.0,4.0,3.0
67,レポートどダッシュボードの自由度が高いです,using,IT related Service,2022-02-18,4,UIはわかりやすくHOME画面のカスタマイズもできるので自分がよく使う機能を集約できる。そのため各種機能へのアクセシビリティが高いことが評価高いと思っています。営業系なので最もよく使うのはレポートとダッシュボードの生成ですが、サポートページを見ながら進めれば多少高度なレポートを作ることもできるので今では非常に重要なツールになっています。とはいえやはり難易度が高かったり使わない機能も多いので4です。,>201-300,営業数字の視覚化と社内共有を主な目的として導入いたものですが、前述の通りレポートとダッシュボードを必要に応じて作成し共有することで課題は解決出来ていると感じます。毎回のMTG時に参照する資料として重宝しています。,4.0,4.0,4.0,5.0,5.0
68,機能が豊富で使い易い,using,IT related Service,2022-02-15,4,機能が豊富で非常に使い易い。当社では、案件管理や契約管理に活用している。今後リード管理や請求管理につなげていきたい、5でないのは中小企業では高価であるため人員を絞って使っている。,2-10,今までExcelでやっていた案件管理や契約管理をSalesforceに置き換えた。すべてのデータをデータベース化したため、データを共有できまた分析できるようになり、管理作業が減り営業活動がスムースになった。,4.0,4.0,4.0,4.0,5.0
69,レポートやダッシュボード機能で情報が一目でわかる,using,IT related Service,2022-02-02,4,"活動を残した記録をもとに行動量や案件の進捗具合を簡単に測れることが可能で、使い方さえ覚えればデータを楽に抽出もできる
また、各種サービスと連携もしていることから、いちいち他のツールから手作業でデータを入れ込むロスもあまりない

しかし、社内浸透は進んでおらず、使っている人と使えない人がおり
そこに対してのサポートがテックタッチのみで不十分だと感じる",>101-200,"かつてはカレンダーで月ごとの打ち合わせ数を整理していたり、打ち合わせの内容も個々で管理していた中で
このサービスを使用することで無駄な工数が削減できた。",5.0,5.0,5.0,5.0,5.0
70,営業の数字管理・読みの精度があがります,using,IT related Service,2022-01-26,3,言わずと知れた営業支援ツールです。基本的に営業活動全般においてすごい貢献してくれるのですが、SFDCに精通している担当者orサポートが前提で構築してかないと使えないだろうと判断したため3にしました。,>201-300,さまざまな営業チームにてそれぞれの輪で管理していた数字の読み方をSFDCにてルールを統一化することで、全社的に同じ指標ではかることができました。,3.0,5.0,5.0,5.0,5.0
71,自分のパイプがどのようになっているかわかりやすい。,using,IT related Service,2022-01-21,4,すごく使いやすく、他のCRMを使ったことがない自分でも簡単に使えました。一番良かったのが自分が毎日何をしなければならないかを簡単に見せてくれることでした。さらに、データを見ることによってこれからの課題が分かりやすかったです。,>31-50,サービス導入前は、EXCELでパイプを管理していました。他の人とパイプの共有が難しく、頻繁にリードの状態をアップデートするのが苦痛でした。,5.0,4.0,4.0,4.0,5.0
72,残業が大幅に減りました,using,Transportation/Traffic/Logistics/Warehouse system,2022-01-17,5,とても使いやすく、マニュアルを一通り読めばすぐに使えること（早い段階でマニュアルに頼らなくても使えるようになった）。基本機能しか使用していないが、大幅な時短推進ができ、事務処理のためにに週２～３回していた残業がほとんどなくなった,2-10,上に記載した通りですが、特に定例的に行っていた残業が大幅に減ったことは大変ありがたかったです。ユーザーの立場なので自分の部署のことしかわかりませんが、他部署も同様だと思います。,5.0,5.0,5.0,5.0,4.0
73,使いこなせれば最高の武器に,currently not using,IT related Service,2021-12-22,4,"設定は複雑だが、その分カスタマイズできる範囲が多く、様々な利用シーンに耐えることができた。
また担当者を中心に豊富なノウハウを保有されているため、ノウハウを吸収しながら業務プロセスを再構築できたので導入してよかったと感じている。",>31-50,"商談情報の統合管理を目的に導入した。
複数のデータベースで管理されていた商談関連情報を一つにまとめることで分析が可能になり、課題抽出や施策立案のスピードや制度が向上した。",3.0,5.0,5.0,5.0,5.0
74,営業活動の可視化ができ、チーム内の共有が進んだ,using,IT related Service,2021-12-18,4,・詳細に情報登録することを徹底すれば、あらゆるデータが可視化できるようになり、営業会議や日々の活動報告など、すべてがSalesforceだけで完結できる。Excelで案件管理をしていた時とは比べ物にならない。,>11-30,"・営業活動が可視化されたことで案件内容の共有が最適化された
・フェーズ管理やタスク管理などもSalesforceで完結できるようになった",3.0,4.0,4.0,4.0,4.0
75,営業・マーケティングに活用,using,IT related Service,2021-12-10,5,"営業・マーケティングの管理や目標管理などの共有に役立っています。
他部署の動きも一連で確認でき、連携力も向上しています。これからも使い続けていくであろうツールです。",301-500,導入当初はツールに合わせた業務に変換する必要があり、定着まで時間がかかりましたが、定着してからはデータで全体を見ることができ業務の改善にも役立っています。,4.0,5.0,5.0,4.0,5.0
76,社内言語の統一が可能に,using,Manufacturer/manufacturing system,2021-12-09,5,スプレッドシートで1から作ろうと思うと正確な型を作るまでにかなりの時間、費用含めてコストがかかりますが、このセールスフォースであれば使いづらい点はあれど社内の型とすぐになっています。,>31-50,サービス導入により、これまで複雑化して、どこに誰がボールを持っているのかがわからず毎回探索コストが多くかかっていた点が解決されました。,4.0,4.0,4.0,4.0,4.0
78,コールセンター実績管理にも最適,using,IT related Service,2021-12-07,4,使いこなすためには専門知識が必要となるが、自由度も非常に高く要求に対する設計柔軟性が高いのが最大のメリットだと思います。一方、DB構造の理解や設計ドキュメントの作成が徹底されていないと運用がハードになるという側面もあります。,>31-50,MAツールや自社DBなど複数のツールと連携させることにより、関係組織の施策成果がSalesforceに集約されるようになり、自社DBの次くらいに重要なデータが蓄積される基盤となった。,3.0,4.0,5.0,4.0,4.0
79,多機能を使いこなせておらず、研鑽が必要です,using,Food and Leisure Service,2021-12-06,3,何でもできるセールスフォースなのですが、いかんせん十分に使いこなせていません。独特のUIで自社では十分カスタマイズでききれておらず、もったいないなあと感じています。専従者を配置する余裕がないので、どうすればいいか思案中です。,2-10,法人として寄附集めに力を注ぐことを決断しましたが、その折に寄付金と寄附者の管理を行うためにどのサービスがいいかを探し、セールスフォースに行き着きました。おかげさまで寄附の管理は滞りなく実施することができ、満足しています。,2.0,5.0,5.0,4.0,3.0
80,社内の営業管理ツール,currently not using,IT related Service,2021-11-24,3,"営業管理ツールとして活躍。
しかし長期的な利用にはつながらなかった。
ダッシュボードの編集や活躍できるシーンは多いものの、価格が高い。
メンバーが増えてい、また組織が大きくなった時のコストが大きい。",2-10,"メンバーとしての利用のため、詳細は不明。
営業管理・KPI/KGIの把握を簡単にできることは非常に良かった。",4.0,4.0,4.0,4.0,4.0
81,営業活動の進捗管理が簡単に,currently not using,IT related Service,2021-11-24,5,"非常にわかりやすくUI設計になっていてヘルプも充実しており、簡単に使い方を覚えることができて業務の効率化にすぐ繋げられたため。
また、ダッシュボードのカスタマイズの自由度も高いため。",>51-100,今まではGoogleスプレッドシートを使って営業の進捗管理などを行っていたが、関数やマクロを使う必要があり、ダッシュボードを用意するのに一苦労だったのが、Salesforceでは管理画面の操作だけである程度簡単に可視化ができるようになり、ダッシュボードの作成時間の短縮などに繋がっていたため。,5.0,5.0,5.0,5.0,5.0
82,追客状況の共有が速い,using,Consulting Service,2021-11-24,4,"追客状況の共有が迅速にできることが非常に魅力です。顧客情報登録、受領資料、次回のアクション等を共有し、的確なアドバイスを受けることができます。
難点としては、スケジュール登録や確度等の細かな登録です。",>31-50,本部や拠点長の追客管理は早くなりました。全体通してのKPI管理もすることができ、見える化も進んでいます。,3.0,4.0,4.0,4.0,4.0
83,営業の可視化、生産性の向上,using,Food and Leisure Service,2021-11-24,4,"見え辛かった、行動量や営業プロセスの可視化が行えた。
また、過去の接触履歴なども残せるので俗人化しない営業を行えるようになったが良い。
営業はリテラシーが低いことが多いので、使いこなしてもらえるまで時間がかかるが土壌ができてしまえばとても良いツールとなる。",>51-100,"弊社は事業部数がとても多いので、アタックしたい人との繋がりや、過去にNGになっている企業など情報の統制が取れていなかった。
これが解消できただけでとてもよかった",3.0,5.0,4.0,5.0,4.0
84,各顧客、顧客担当者の売上、利益がひとめでわかる,using,Manufacturer/manufacturing system,2021-11-24,4,いままでの社内開発ソフトでは、十分に分析できなかった顧客の売上、利益分析また担当者ごとの売上利益貢献度がひとめでわかるようになっている。分析速度も速く、またデータ共有も社内で簡単に済み、Service force cloudとの連携や、各種会計ソフトとの連携もできる。,501-1000,これまで十分に分析できていなかった顧客ごとの売り上げ、利益管理が可能になった。また、営業担当者ごとの売上、利益貢献度も一目でわかる。,2.0,4.0,4.0,4.0,4.0
85,メジャーで機能性が高いからこそ、迷うこともある,using,IT related Service,2021-11-23,3,使える機能が多く、実用が始まれば非常に良いが、使い切れるかどうかが肝だと思う。それ以前に、各オブジェクトの使い方を理解して、情報をどのように持たせるのが最適解か？などはレガシーの会社では難しいかもしれない。これが分かれば連動性を持って効率的に運用ができる。,2-10,情報の一元管理化ができたこと。あとどのSFAよりもとにかくオブジェクトの連携がシームレスで見やすい。どこに何の情報があるのかがすぐに分かる。,4.0,4.0,4.0,5.0,4.0
86,MAツールと連携し、一元的に顧客管理が可能に,using,IT related Service,2021-11-23,4,MAツールやその他外部ツールと連携しながら使用しています。顧客や契約情報を一元的に管理し、ダッシュボードで見える化出来ているため、非常に助かっています。ヘルプの読みづらさや、細かい仕様が難解な点が多いため、マイナスをしています。,>51-100,元々、MAツールとの連携や、社内での顧客管理を一元的に行うことが出来ていませんでした。導入することで、リード獲得から受注、契約管理やCS対応までを一元的に扱うことが出来ているため、効果的なアクションを取れるようになっています。,3.0,5.0,5.0,4.0,3.0
87,洗練された営業支援ツール,using,IT related Service,2021-11-22,4,APIでデータ連携できるので、営業上必要なレポートやグラフによって活動情報を可視化することができ、営業担当者に非常に便利なツールです。必要な情報の一元管理ができ、細かい設定やカスタマイズが可能です。,>1,これ一つで営業履歴をまとめることが可能となり、色々なシステムにアクセスして、データを探す必要がなくなりました。,4.0,5.0,4.0,4.0,4.0
88,営業進捗や顧客データを一元管理できるようになりました,using,Food and Leisure Service,2021-11-20,4,"UIも洗礼されており、非常にみやすく使いやすい営業管理ツールです。
また自身の勤める会社では違う部門の方とも連携が出来る様に設定をしており
自分のアプローチ履歴以外にも他部門のアプローチ状況や訪問先履歴などがすぐに確認できるため、グループ全体での提案活動にとても有益です。",>1000,もともと複数部門で違うサービス展開をしている自社でしたが、同じ顧客に対して窓口一つで接点が持てたり、他部門からの新規アプローチもできたりと「見える化」ができたことでの情報連携が密になりました。,4.0,4.0,3.0,4.0,4.0
89,使いやすい顧客管理ツールになります！,using,Retail/distribution/trading companies,2021-11-15,5,Salesforceはデータ上ですべてを管理できます。 自分の顧客だけでなくさまざまな状況に対応し、担当者が変わってもデータの確認ができるためすごく便利です。 顧客情報を蓄積することでその顧客の要望も蓄積し、共有し、次につなげることが可能です。,2-10,"顧客をたくさん抱えると、いつ誰がどのタイミングで何をお客様に聞いていたか忘れてしまいますが、セールスフォースを利用することで全ての情報を共有することができ、漏れがなくアプローチ顧客管理ができます。
またレポートを使用し様々なデータがすぐに出せることが強みです。",5.0,5.0,4.0,4.0,4.0
90,会社の資産である顧客情報が視覚的に管理できるように,using,Food and Leisure Service,2021-11-05,4,本製品導入前は、属人的に顧客情報をまとめ管理しておりました。慣れ親しんだ個人フォーマットから、一元的な情報管理ツールへ移行すると知った時には少し抵抗感がありましたが、会社の資産である情報をオープンに管理できること、定量的にも課題分析ができることなど、今では移行して良かったと思う点が多くあります。,301-500,本製品導入により、属人化していた顧客情報が一元管理されたことで、複数人がオープンに管理された情報にアクセスでき、多角的な課題分析につながっております。その結果、フォロー不足であった顧客への深耕営業ができるようになりました。,4.0,5.0,4.0,4.0,4.0
91,訪問セールスの営業担当は導入すべき,currently not using,Finance/Insurance,2021-11-02,5,訪問先の把握が簡単にできるようになった。優先順位を付けて訪問出来るようになったため、営業活動が効率化され、提案内容について考える時間が増えた。営業について時間の制約が多い担当者はいち早く導入すべきだと思います。,>11-30,訪問営業について圧倒的に効率化された。提案資料の作成時間がこれまでより十分に確保できるようになった。,5.0,5.0,5.0,5.0,5.0
92,慣れるまでは大変だが今は欠かせないツール,using,IT related Service,2021-10-29,4,導入後からシステム管理者業務も行っており、設定方法などで悩んだ際にヘルプページを確認するが、書かれている内容などが外資系ツール特有のわかりにくさがあるため、その部分を減点した結果。,>11-30,これまでは見えていなかった細かな数値やどの転換率がボトルネックとなっているのかなどの見える化が実現できている。,3.0,5.0,5.0,5.0,4.0
93,案件状況をスプレッドシートでなく可視化できている,using,Consulting Service,2021-10-28,4,今までスプレッドシートを活用してなんとか可視化をしようとしていたものをSalesforceのダッシュボードやレポートで表現できるので、非常にありがたい状況になっています。,>11-30,今までスプレッドシートを活用してなんとか可視化をしようとしていたものをSalesforceのダッシュボードやレポートで表現できるので、非常に見えやすくなり、そこからの仮説が立てやすくなりました。,4.0,4.0,4.0,4.0,4.0
94,使いやすい,using,Manufacturer/manufacturing system,2021-10-27,4,費用は若干かかるものの、引合管理の根幹をなしており、使えるツールと認識している。説明書なしでも、初めてでも簡単に使用することができるので、引継ぎも含め、非常に簡単だと認識している。,>51-100,複数の部署を横断する、お互いに認識せずに並行して動いてしまうタスクが減った。また、誰でも比較的簡単に使用できるのは助かる。,4.0,4.0,4.0,4.0,4.0
95,タスク管理をするなら申し分ない,using,Food and Leisure Service,2021-10-22,4,"使える機能が山ほどあるので、これを使いこなせれば通常の会社組織であれば、十分な業務効率化が図れると思う。
しかしそれは使いこなせればの話である。直感的なUIではないので慣れが必要。",>11-30,社内情報共有をどのように行うかという点を考えだした時に必ず思い当たるサービス。多分、自分一人で進めるにはハードルが高いが、サポートがしっかりしているので、社内で基盤を作るまではサポートと2人3脚で行うとよい。情報共有に関しては何はともあれここを見れば一発という社内掲示板的な使い方もできるので重宝している。,3.0,4.0,4.0,5.0,5.0
96,機能性と操作方法,using,IT related Service,2021-09-29,2,社内で使わせて頂いたが、あまり使いこなせておらず勤怠面でしか使っていなかった。よくセールスフォースを導入している企業は多いが、カスタマイズが必要なのか管理者ではないので不明,>31-50,"管理・決済者ではない為不明だが、使用側として勤怠など含め工数となっていることが多く感じられた。
管理者側としては管理する上で必要だったのだと思う。",2.0,3.0,2.0,2.0,4.0
97,SFAの代名詞,currently not using,IT related Service,2021-09-26,4,営業管理ツールとしては、標準機能だけでも十分だし、カスタマイズ機能やいろいろなサービスと連携できる点がとても魅力的。ただ、自由度が高いがゆえに、カスタマイズしすぎると、誰も管理ができないことになるので注意が必要。,301-500,"リードから契約に至るまでのマーケティングから営業、契約までの部門連携がしやすくなった。
また、Pardotと連携することにより、自動的にSalesForceへ情報を登録してくれるのが良い。",4.0,4.0,4.0,4.0,4.0
